Id,SalePrice
1461,115294.15
1462,154624.53
1463,189548.8
1464,176406.9
1465,199205.8
1466,161403.3
1467,176137.16
1468,175505.22
1469,176900.38
1470,129045.23
1471,205872.11
1472,97079.44
1473,101293.836
1474,159733.5
1475,131859.06
1476,447948.2
1477,257838.06
1478,307941.88
1479,240409.0
1480,499436.03
1481,324791.9
1482,211105.45
1483,173789.22
1484,168358.8
1485,179354.62
1486,202651.06
1487,385715.12
1488,244895.25
1489,223707.98
1490,216694.52
1491,187162.92
1492,74903.78
1493,208041.53
1494,282617.62
1495,287928.72
1496,245453.66
1497,179073.97
1498,174569.19
1499,167188.9
1500,137769.9
1501,189634.84
1502,165222.45
1503,325028.75
1504,235126.84
1505,221572.38
1506,189434.98
1507,218289.83
1508,210312.27
1509,170585.02
1510,144798.34
1511,145024.53
1512,182453.3
1513,159491.03
1514,187344.58
1515,204546.39
1516,156388.08
1517,156815.25
1518,124221.64
1519,217652.31
1520,138806.48
1521,132283.97
1522,159218.92
1523,114262.52
1524,114520.586
1525,122456.1
1526,119770.49
1527,106479.1
1528,117956.98
1529,148704.28
1530,179290.31
1531,117519.875
1532,101671.97
1533,147059.78
1534,113865.05
1535,160450.77
1536,120562.37
1537,45767.01
1538,169822.89
1539,223779.08
1540,100742.16
1541,145097.44
1542,159725.12
1543,236390.4
1544,76894.48
1545,105164.07
1546,129476.55
1547,140429.8
1548,139981.61
1549,115320.41
1550,151171.72
1551,114469.8
1552,158476.28
1553,153790.67
1554,111051.61
1555,176845.77
1556,101717.99
1557,118291.27
1558,101728.83
1559,76007.18
1560,133755.66
1561,139193.9
1562,136439.52
1563,124587.78
1564,155013.25
1565,147620.34
1566,198204.73
1567,66353.55
1568,227502.25
1569,130197.4
1570,125954.984
1571,124739.28
1572,144614.11
1573,256283.08
1574,114226.875
1575,198124.62
1576,240679.75
1577,211798.39
1578,145477.23
1579,150328.97
1580,196163.25
1581,151681.05
1582,120716.91
1583,335762.12
1584,238757.94
1585,143680.75
1586,62796.52
1587,96842.59
1588,146915.19
1589,109050.29
1590,134245.38
1591,96623.586
1592,122375.234
1593,120646.59
1594,139740.11
1595,113699.09
1596,234241.52
1597,179025.5
1598,221893.61
1599,224101.33
1600,202561.58
1601,84269.555
1602,118172.57
1603,83054.28
1604,269174.3
1605,250111.84
1606,177876.31
1607,152577.98
1608,211442.78
1609,212098.62
1610,168869.53
1611,132999.33
1612,163612.92
1613,154977.11
1614,119341.59
1615,90104.88
1616,79076.83
1617,85896.125
1618,128643.32
1619,134398.97
1620,161388.06
1621,130495.05
1622,140125.83
1623,302594.06
1624,225656.2
1625,127719.87
1626,163533.14
1627,188845.98
1628,270046.97
1629,185472.11
1630,339565.7
1631,234385.05
1632,242047.02
1633,175488.45
1634,194101.9
1635,172593.45
1636,161043.16
1637,167534.84
1638,203439.39
1639,168234.05
1640,226873.05
1641,181224.66
1642,218871.23
1643,238005.88
1644,243682.11
1645,181504.08
1646,151128.78
1647,157009.31
1648,133929.6
1649,141661.83
1650,120862.38
1651,114204.125
1652,99244.71
1653,103578.695
1654,151374.66
1655,156454.31
1656,151547.33
1657,153869.4
1658,154414.64
1659,144657.72
1660,150675.97
1661,455554.5
1662,388795.66
1663,414562.3
1664,488192.56
1665,318803.44
1666,310941.6
1667,372509.4
1668,314877.0
1669,278446.75
1670,328195.38
1671,255591.69
1672,492909.8
1673,286696.2
1674,247044.62
1675,194821.47
1676,194733.36
1677,219724.03
1678,466698.88
1679,390482.56
1680,329751.9
1681,240005.61
1682,279521.72
1683,182384.22
1684,167333.64
1685,178544.92
1686,165526.78
1687,176463.38
1688,188810.44
1689,179879.22
1690,189102.23
1691,182913.34
1692,294530.97
1693,180421.84
1694,192537.11
1695,173129.2
1696,254022.98
1697,177028.72
1698,332150.06
1699,349036.12
1700,266254.5
1701,261761.78
1702,244054.67
1703,243339.14
1704,278567.66
1705,253564.58
1706,475552.16
1707,233033.62
1708,215735.33
1709,273667.47
1710,246560.77
1711,246804.88
1712,229165.86
1713,243814.48
1714,261849.73
1715,215196.8
1716,179928.92
1717,166924.3
1718,119152.41
1719,207503.5
1720,263138.2
1721,160142.38
1722,127917.19
1723,155935.97
1724,206401.64
1725,229357.62
1726,194240.08
1727,174122.52
1728,190168.11
1729,165548.5
1730,164756.27
1731,120670.7
1732,139914.9
1733,118608.875
1734,109058.484
1735,135596.95
1736,120535.56
1737,347117.38
1738,224212.94
1739,267726.56
1740,225753.55
1741,196204.38
1742,180147.39
1743,173432.16
1744,292813.62
1745,254407.72
1746,247748.4
1747,224939.52
1748,223526.25
1749,152750.36
1750,129545.04
1751,225156.25
1752,125874.516
1753,147726.25
1754,205189.28
1755,162844.84
1756,131239.69
1757,123619.83
1758,153342.25
1759,174666.48
1760,171265.22
1761,132695.8
1762,162629.9
1763,160130.19
1764,111123.19
1765,143431.1
1766,162646.16
1767,206656.67
1768,139995.17
1769,165176.28
1770,138287.34
1771,128539.8
1772,156144.0
1773,142256.11
1774,122081.695
1775,140970.98
1776,120257.7
1777,113846.016
1778,133184.56
1779,121008.42
1780,178041.17
1781,134499.78
1782,93216.914
1783,118094.945
1784,98839.69
1785,117262.97
1786,129739.99
1787,181526.3
1788,69831.83
1789,97659.52
1790,91269.81
1791,191449.89
1792,151609.5
1793,134273.88
1794,143066.89
1795,136482.75
1796,138504.0
1797,124288.266
1798,129834.29
1799,122177.44
1800,139270.92
1801,120457.01
1802,148710.38
1803,164264.78
1804,152934.28
1805,137062.0
1806,115948.99
1807,120309.16
1808,109364.6
1809,122952.77
1810,147950.08
1811,97079.42
1812,99324.14
1813,115830.29
1814,94864.51
1815,65511.402
1816,109804.24
1817,129806.74
1818,133760.31
1819,113140.63
1820,45003.312
1821,121655.54
1822,158354.08
1823,39847.76
1824,139654.78
1825,147392.5
1826,99903.05
1827,91868.69
1828,140956.61
1829,108234.59
1830,159444.47
1831,154738.56
1832,99491.04
1833,136426.8
1834,129340.9
1835,137086.27
1836,140522.05
1837,93896.664
1838,118400.22
1839,97409.586
1840,173846.69
1841,153562.22
1842,70197.9
1843,125203.79
1844,134861.28
1845,134121.25
1846,157822.03
1847,140027.4
1848,53961.668
1849,129442.96
1850,121985.56
1851,154289.02
1852,123699.0
1853,132205.05
1854,172930.86
1855,162160.42
1856,218103.98
1857,157051.16
1858,137450.53
1859,122011.54
1860,144859.06
1861,122011.54
1862,234554.44
1863,233401.73
1864,233401.73
1865,302609.28
1866,333862.6
1867,246345.14
1868,288235.0
1869,198922.38
1870,232022.83
1871,266003.3
1872,168019.89
1873,228344.38
1874,139306.88
1875,189243.1
1876,188283.02
1877,202248.98
1878,208618.2
1879,138456.11
1880,134020.27
1881,235028.19
1882,250023.66
1883,202412.28
1884,207396.05
1885,271961.28
1886,281868.12
1887,201343.06
1888,280111.94
1889,156172.5
1890,128535.83
1891,154340.89
1892,96780.22
1893,133921.86
1894,116452.016
1895,143779.33
1896,127042.33
1897,124978.266
1898,104752.78
1899,156957.58
1900,167222.77
1901,172602.83
1902,130083.1
1903,191570.58
1904,145309.92
1905,184701.81
1906,145133.4
1907,206584.97
1908,110132.44
1909,131525.78
1910,119778.27
1911,202747.3
1912,270125.2
1913,174245.25
1914,63092.53
1915,318024.88
1916,70276.97
1917,265039.72
1918,138174.12
1919,155634.83
1920,136507.48
1921,399664.38
1922,289432.8
1923,224691.6
1924,259832.83
1925,207733.33
1926,369135.34
1927,134429.02
1928,153061.66
1929,129753.18
1930,142796.3
1931,148091.4
1932,136977.98
1933,186315.14
1934,192906.0
1935,179308.58
1936,201786.72
1937,177675.11
1938,172043.52
1939,261129.27
1940,196741.56
1941,173194.98
1942,195948.72
1943,212295.84
1944,344107.44
1945,389561.62
1946,172454.38
1947,341539.34
1948,179217.66
1949,263621.97
1950,180977.67
1951,275786.22
1952,251507.89
1953,171886.25
1954,189002.2
1955,128560.96
1956,277044.5
1957,159112.11
1958,306049.8
1959,126955.28
1960,114688.984
1961,124988.23
1962,105893.05
1963,103023.945
1964,119693.04
1965,151753.77
1966,145835.56
1967,318052.0
1968,416083.1
1969,401101.7
1970,472234.28
1971,435382.16
1972,377288.53
1973,252805.39
1974,312200.34
1975,504388.53
1976,273898.9
1977,371591.25
1978,377106.88
1979,303971.56
1980,190421.9
1981,334476.44
1982,246267.89
1983,231575.69
1984,168016.83
1985,207011.84
1986,217970.89
1987,183831.62
1988,182483.66
1989,194804.33
1990,223727.95
1991,255565.1
